title,location,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
대박고기집(등마루오리한마당),서울시 강서구 공항대로36길 9,-1,N,N,Y,N,N,N,N,N,N,N,N,N,126.8374664,37.55812157
대원,서울시 강남구 강남대로114길 8,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0250195,37.50569315
해물퓨전주점,서울시 광진구 아차산로31길 29,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0696891,37.54235681
코스모,서울시 금천구 시흥대로123길  14,-1,N,Y,N,N,N,N,N,N,N,N,N,N,126.8972644,37.47049037
코다리냉면,서울시 송파구 문정로  31,02-407-7177,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.1261815,37.48646207
아사달횟집,서울시 동대문구 천호대로 301,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0542676,37.56618317
스타벅스 신촌점,서울시 서대문구 연세로  10-1,02-758-8035,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9371251,37.55649472
타워차이,서울시 서초구 법원로1길 7,02-599-3507,Y,Y,N,N,N,N,Y,N,N,N,N,N,127.0098655,37.49303584
ZINO,서울시 서대문구 연대동문길 45,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9444149,37.56442162
소담설농탕,서울시 구로구 경인로 385,-1,Y,N,N,N,N,N,N,N,N,N,N,N,126.8628478,37.49697746
수정궁(갈비탕 전문점),서울시 강남구 도곡로63길  20,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0541411,37.49842218
석천(근린생활시설),서울시 마포구 어울마당로   134,-1,N,Y,Y,N,N,N,N,N,N,N,N,N,126.9248844,37.55590159
근린생활시설(천하뼈다귀감자탕),서울시 노원구 동일로 1595,02-933-9897,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0556936,37.67091316
청량리쇠고기샤브샤브,서울시 성북구 보문로34길  15,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0162006,37.59034145
옛골토성,서울시 성동구 고산자로10길  8,02-2282-5292,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0349976,37.55861412
헐리스커피연희점,서울시 서대문구 연희맛로 32,02-336-6630,Y,N,N,N,N,N,N,N,N,N,N,N,126.9307935,37.56754641
근린생활시설(착한고기),서울시 노원구 수락산로 232,02-933-9291,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0529677,37.67106853
찰진고기(그랑프리 빌딩),서울시 강남구 테헤란로10길 9,02-561-5171,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0326171,37.49853728
갈비사랑,서울시 서초구 강남대로  204,02-3463-9800,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0367296,37.48247772
별난횟집,서울시 서초구 마방로2길 26,02-571-3050,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0391407,37.47250456
돈까스클럽,서울시 도봉구 시루봉로 68,02-900-0045,Y,N,N,N,N,N,N,N,N,N,N,N,127.028246,37.65682689
아실라,서울시 강남구 강남대로98길 16,-1,Y,N,N,N,N,N,N,N,N,N,N,N,127.0279776,37.50073618
연일선지해장국,서울시 서대문구 수색로  127,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,126.9058712,37.57403155
신토오리,서울시 송파구 문정로4길  14-38,02-430-5295,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0
통일동산두부마을,서울시 강서구 방화대로  375,02-2664-3358,Y,Y,N,N,N,N,N,N,N,N,N,N,126.8163862,37.57445535
수라간,서울시 강서구 양천로  364,02-3663-3500,Y,N,Y,N,N,N,N,N,N,N,N,N,126.8426277,37.56731481
광양림,서울시 영등포구 선유로9가길  16,02-2677-5775,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.888297,37.5186149
대문한정식,서울시 도봉구 시루봉로  139-6,02-956-0843,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0275442,37.66369567
거북이집,서울시 서대문구 연희로  12-1,02-322-8018,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0
별당보리밥,서울시 강북구 4.19로 51,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0088194,37.64656594
gs25-편의점,서울시 서초구 서초대로50길 62-4,02-597-9890,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0134022,37.49061337
고기굼터,서울시 강서구 양천로 376,02-3663-8592,Y,N,Y,N,N,N,N,N,N,N,N,N,126.8438161,37.56681776
놀부 유황오리 진흙구이 청담점(청담솔 빌딩),서울시 강남구 삼성로148길 10,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0486179,37.523708
헤븐,서울시 강남구 봉은사로82길 29,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0555464,37.51135296
베누스타-뷔페,서울시 성북구 도봉로 1,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0297703,37.60913306
밀러타임(지하1지상234층)-호프,서울시 양천구 신월로 356,02-2654-6018,Y,N,N,N,N,N,N,N,N,N,N,N,126.8605865,37.52178627
빕스 상봉역점,서울시 중랑구 망우로  263,02-491-1997,N,Y,Y,N,N,N,N,N,N,N,N,N,127.081868,37.59574471
맑은바닷가의나루터,서울시 강서구 강서로54길 73,02-3663-0067,Y,Y,N,N,N,N,N,N,N,N,N,N,126.8427296,37.55901961
베아따빌딩신관,서울시 서초구 서초대로53길 8,02-535-9292,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0153525,37.49513386
